framenr,kanji,keyword,public,last_edited,story
1,一,"one",0,2018-05-29 14:23:50,"Sideways roman numeral for one."
2,二,"two",0,2018-05-29 14:23:28,"Sideways roman numerals for two."
3,三,"three",0,2018-05-29 14:23:08,"一+二=三"
4,四,"four",0,2018-05-29 14:22:48,"Insert feet into mouth."
5,五,"five",0,2018-05-29 14:22:29,"三 (three horizontal lines) + 二 (two vertical lines) = five"
6,六,"six",0,2018-05-29 14:22:03,"The person who drew this stick figure was six years old."
7,七,"seven",0,2018-05-29 14:22:23,"it's a regular seven (7) rotated 180 degrees"
8,八,"eight",0,2018-06-02 05:16:36,"8 = Smaller circle over larger circle.
八 = Smaller line over larger line."
9,九,"nine",0,2018-05-29 14:27:36,"It looks like an elaborate letter ""n"" for nine."
10,十,"ten",0,2018-05-29 14:28:05,"A roman ten (X) standing on one leg."
11,口,"mouth",0,2018-05-29 14:29:02,"When rounded out, it looks like a mouth."
12,日,"day",0,2018-05-29 14:30:11,"When rounded, it looks like a sun smiling during the day."
13,月,"month",0,2018-05-29 14:32:13,"When rounded, it looks like a happy moon, which completes a cycle every month."
14,田,"rice field",0,2018-05-29 14:32:56,"It looks like a 2x2 rice field."
15,目,"eye",0,2018-05-29 14:34:13,"When rounded, the middle part become elliptical, forming an eye."
16,古,"old",0,2018-05-30 10:36:25,"Old people are destined for the gravestone."
17,吾,"I",0,2018-05-30 10:37:04,"Who was five senses/mouths? I."
18,冒,"risk",0,2018-05-30 10:37:31,"Looking at the sun is risky."
19,朋,"companion",0,2018-05-30 10:38:49,"A companion is ""flesh of my flesh""."
20,明,"bright",0,2018-05-30 10:39:52,"The daytime is for bright workers, the nighttime is for bright thinkers."
21,唱,"chant",0,2018-05-30 10:40:49,"Conductor with a closed mouth with two moving their tongues is the minimum for a chant."
22,晶,"sparkle",0,2018-05-30 10:42:40,"A diamond held up to the sky refracts the sun everywhere (three is everywhere)."
23,品,"goods",0,2018-05-30 10:43:02,"Mass-produced goods are offered to mouths everywhere."
24,呂,"spine",0,2018-05-30 10:43:49,"My spine connects my mouth to my arsehole."
25,昌,"prosperous",0,2018-05-30 10:45:07,"A sunny day is prosperous, but a sun you can see from anywhere is truly prosperous."
26,早,"early",0,2018-05-30 10:45:31,"Sunflowers are early risers in gardens."
27,旭,"rising sun",0,2018-05-30 10:46:38,"A batter is hitting a ""ball"" in a game of baseball, a popular sport in the Land of the Rising Sun."
28,世,"generation",0,2018-05-30 10:47:18,"Ten + Ten + Ten = Thirty Years or a generation."
29,胃,"stomach",0,2018-05-30 10:48:19,"What keeps the brain held on top of the flesh functioning? The stomach."
30,旦,"nightbreak",0,2018-05-30 10:49:07,"The sun sets, changing into nightbreak."
31,胆,"gall bladder",0,2018-05-30 10:50:38,"The gall bladder digests the flesh (meat) before nightbreak so you are ready to start your new day."
32,亘,"span",0,2018-05-30 10:51:13,"The two lines marks the span of a day."
33,凹,"concave",0,2018-05-30 10:51:27,"Concave has a concave shape"
34,凸,"convex",0,2018-05-30 10:51:37,"Convex has a convex shape"
35,旧,"olden times",0,2018-05-31 21:11:15,"An old person on a walking stick tells me about the good ol' days."
36,自,"oneself",0,2018-05-31 21:12:41,"Japanese people point towards one's nose, which between two eyes."
37,白,"white",0,2018-05-31 21:13:38,"A prism held up to the sun reflects white light."
38,百,"hundred",0,2018-05-31 21:15:07,"the ""white year"" (99) plus one more. 100!"
39,中,"in",0,2018-05-31 21:16:24,"Jam the walking stick into his mouth to get him to take the medicine in his mouth."
40,千,"thousand",0,2018-05-31 21:17:19,"An eyedropper adds two drips/zeros at the end of ten, creating a thousand."
41,舌,"tongue",0,2018-05-31 21:18:16,"A thousand mouths speak the same tongue (language)."
42,升,"measuring box",0,2018-05-31 21:20:15,"A measuring box is a square wooden box that was used to measure one thousand grains of rice (needles)  in feudal Japan. It was supposed to be enough to feed a working man for one day."
43,昇,"rise up",0,2018-05-31 21:21:53,"To use a measuring box, you hold it up. If it were to hold the sun, it would be rising up."
44,丸,"round",0,2018-05-31 21:22:41,"If you add a dash to nine, you get a nice round number."
45,寸,"measurement",0,2018-05-31 21:23:11,"The decimal system uses *drops* of *ten* as a measurement."
46,肘,"elbow",0,2018-05-31 21:24:05,"The elbow is the *flesh* that *glues* together the upper and lower arm."
47,専,"specialty",0,2018-05-31 21:24:48,"After you have chosen your *10* *fields* of study, *measure* how good you are at each to find out your specialty."
48,博,"Dr.",0,2018-05-31 21:26:48,"A doctor is a specialist that can safely use needles and has a dash after its title."
49,占,"fortune-telling",0,2018-05-31 21:28:54,"**holding magic wand up**
O, magic wand, tell me my fortune!
AAAAAAAAAAAAAAAAAAA!"
50,上,"above",0,2018-05-31 21:29:35,"The magic wand is above the ground."
51,下,"below",0,2018-05-31 21:29:54,"The magic wand is below the ceiling."
52,卓,"eminent",0,2018-05-31 21:30:43,"The most eminent/famous magician uses a sunflower as a magic wand."
53,朝,"morning",0,2018-05-31 21:32:32,"The moon fades away, mist overtakes the sunflowers, both signaling the morning; the beginning of a beautiful day."
54,嘲,"derision",0,2018-05-31 21:34:38,"Morning breath, the bacteria have been mocking you all night."
55,只,"only",0,2018-06-07 10:09:19,"A creature walking on a mouth can only be found at a fairground."
56,貝,"shellfish",0,2018-06-07 10:09:43,"Stare at the shellfish, it looks like an eye with legs"
57,唄,"pop song",0,2018-06-07 10:10:38,"Smash *Mouth*'s new pop song, *Shell* Out, is a subtle nod to them selling out."
58,貞,"upright",0,2018-11-04 22:05:52,"Only a *shellfish* with a *magic wand* can stand upright."
59,員,"employee",0,2018-06-07 10:11:21,"Junior #employees# must keep their *mouths* shut like *clams*."
60,貼,"post a bill",0,2018-06-07 10:11:49,"A new chinese cookie."
61,見,"see",0,2018-06-07 10:12:13,"As a primitive, this is Mike Wazowski from Monsters Inc. (the giant *eyeball* with *legs*...) Makes for *easy* stories later on."
62,児,"newborn babe",0,2018-06-07 10:14:19,"newborn babes can't stand in their legs since olden time."
63,元,"beginning",0,2018-06-07 10:14:50,"In the beginning were just *two* who walked on *human legs* (male and female)"
64,頁,"page",0,2018-06-07 10:15:26,"A *shellfish* carrying a page balanced on its *head*."
65,頑,"stubborn",0,2018-06-07 10:16:03,"People who stick to the page they wrote in the beginning are stubborn."
66,凡,"mediocre",0,2018-06-07 10:17:26,"A drop of rain in the wind... what a mediocre rainy season..."
67,負,"defeat",0,2018-06-07 10:17:56,"The bound up shellfish was defeated in pvp."
68,万,"ten thousand",0,2018-06-07 10:18:38,"A bound up one marks ten thousand."
69,句,"phrase",0,2018-06-07 10:19:14,"A phrase is a bunch of bound up words coming out of a mouth."
70,肌,"texture",0,2018-06-07 10:19:32,"When you expose your *flesh* to the *wind* it gets #textured#:"
71,旬,"decameron",0,2018-06-07 10:20:21,"#Hint:# *Here's info from Wikipedia regarding why this kanji exists, which helped me remember it:*

[Japan also divides the month roughly into three 10-day periods. Each is called a jun (旬). The first is jōjun (上旬); the second, chūjun (中旬); the last, gejun (下旬). These are frequently used to indicate approximate times, for example, ""the temperatures are typical of the jōjun of April""; ""a vote on a bill is expected during the gejun of this month.""]"
72,勺,"ladle",0,2018-06-07 10:20:39,"A ladle binds drops together."
73,的,"bull's eye",0,2018-06-07 10:21:46,"She put a white drip on the bottom of her ladle, representing a bull's eye"
74,首,"neck",0,2018-06-25 19:27:11,"The horny top of oneself is supported by the neck."
75,乙,"fish guts",0,2018-06-09 13:06:21,"this is a fish hook, that pulls out the fishguts"
76,乱,"riot",0,2018-06-09 13:08:56,"The riot police broke up the riot by dragging the rioters away by their *tongues* with *fishooks*."
77,直,"straightaway",0,2018-06-09 13:09:56,"the hook goes straightaway through the eye of a needle"
78,具,"tool",0,2018-06-09 13:10:20,"A worker keeps his eyes on the tools"
79,真,"true",0,2018-06-09 13:10:54,"You use NEEDLES and TOOLS to interrogate somebody to find out what's TRUE."
80,工,"craft",0,2018-06-09 13:11:19,"The pattern that bricks make. Building is a craft."
81,左,"left",0,2018-06-09 13:12:51,"The LEFT *side* of my brain *posesses* the faculties needed for logical *crafts*, like engineering"
82,右,"right",0,2018-06-09 13:13:11,"A voice of reason *by your side* steers you right."
83,有,"possess",0,2018-06-09 13:14:22,"Having a piece of flesh by your side will help exorcise your possession."
84,賄,"bribe",0,2018-06-09 13:16:11,"You've got to *possess/own* a lot of *clams(money)* in order to #bribe# someone"
85,貢,"tribute",0,2018-06-09 13:17:11,"A tribute is made with a craft of money"
86,項,"paragraph",0,2018-06-09 13:17:32,"A finely *crafted* *page* of writing is spaced out by paragraphs."
87,刀,"sword",0,2018-06-09 13:17:43,"This SWORD is so sharp, it can cut the top part of カ off in カタナ."
88,刃,"blade",0,2018-06-09 13:18:23,"The dash of the sword is the blade."
89,切,"cut",0,2018-06-09 13:18:46,"The seven was cut by the sword."
90,召,"seduce",0,2018-06-09 13:19:36,"Blowjob."
91,昭,"shining",0,2018-07-02 19:39:37,"The shining *sun* *seduces* everyone."
92,則,"rule",0,2018-06-09 13:20:34,"When you have both *money* and the power of the *sword*, you can make the #rules#."
93,副,"vice-",0,2018-06-09 13:20:57,"The *wealthy* guy with the *sword* standing next to the king, that's the vice-roy who does all the dirty work."
94,別,"separate",0,2018-06-09 13:21:44,"A samurai is bound up and separated with his sword."
95,丁,"street",0,2018-06-09 13:22:08,"two streets make a T-intersection"
96,町,"town",0,2018-06-09 13:22:20,"Actually this means #town#, like one that has lots of *streets* and is surrounded by all the *rice fields*."
97,可,"can",0,2018-06-09 13:23:06,"A small child with a large mouth asks ""Can I cross the street?"""
98,頂,"place on the head",0,2018-06-09 13:23:41,"Before you hit the *nail* on the *head*, you must #place it on the head#."
99,子,"child",0,2018-06-11 10:34:12,"A child who is *ten* will still ask for his *ma* (top looks a bit like katakana ma)"
100,孔,"cavity",0,2018-06-11 10:34:34,"The *child* was afraid of the *hooks* the dentist used while fixing his cavity."
101,了,"complete",0,2018-06-11 10:34:59,"A child with the arms inside the blanket will be completely wrapped up."
102,女,"woman",0,2018-06-11 10:35:50,"To remember the order of strokes, remember a female ninja is called a ""kunoichi"". That is, く(hiragana)  ノ(katakana)  一(kanji, ichi=one)."
103,好,"fond",0,2018-06-11 10:36:09,"A woman is fond of her child."
104,如,"likeness",0,2018-06-11 10:36:52,"Birth to childhood
... to adulthood
Takes the likeness."
105,母,"mama",0,2018-06-11 10:37:17,"When a *woman* becomes a mama her *breasts* grow and fill with *drops* of milk."
106,貫,"pierce",0,2018-06-11 10:38:04,"Mama had her ears pierced so that she could wear the pearls from the shellfish."
